max_vibr,max_f1,max_f2,max_f3,max_dist,min_vibr,min_dist,mean_vibr,mean_dist,std_vibr,std_dist,labels
1143.0,199.0,409.0,460.0,86.0,177.0,36.0,419.29,56.45,148.39301162790653,16.63031869808874,1.0
1143.0,199.0,409.0,460.0,86.0,177.0,36.0,420.85,56.48,147.67568350950677,16.60872060093733,1.0
1143.0,199.0,409.0,460.0,86.0,177.0,39.0,422.66,56.58,146.5035303328899,16.51495080222766,1.0
1143.0,199.0,409.0,460.0,86.0,177.0,39.0,422.32,56.61,146.63457163984216,16.491146109352133,1.0
1143.0,174.0,409.0,421.0,86.0,177.0,39.0,421.77,56.65,146.87646884371915,16.45805274022416,1.0
1143.0,174.0,396.0,421.0,86.0,177.0,39.0,422.45,56.67,146.39367301902087,16.440228100607364,1.0
1143.0,174.0,379.0,418.0,86.0,177.0,39.0,424.38,56.69,144.75080517910774,16.42723044216523,1.0
1143.0,174.0,369.0,369.0,86.0,198.0,39.0,426.28,56.45,142.72400498864934,16.420946988526573,1.0
1143.0,142.0,311.0,369.0,86.0,198.0,39.0,427.37,56.11,141.97109952381152,16.281213099766248,1.0
1143.0,142.0,250.0,230.0,86.0,198.0,39.0,428.05,55.75,141.70401370462307,16.079412302693157,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,428.46,55.34,141.38899674302806,15.84942901179724,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,429.11,54.99,140.83031598345576,15.641927630570343,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,428.09,54.63,140.97943786240603,15.498809631710428,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,427.96,54.31,140.9919089877146,15.321680717205929,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,428.94,53.96,140.34085791386624,15.129388619504752,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,430.31,53.6,138.76892267363036,14.908386901338456,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,431.45,53.24,137.64812930076454,14.626086284443973,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,431.61,52.86,137.4776996461608,14.444389914426983,1.0
1143.0,135.0,250.0,230.0,86.0,198.0,39.0,432.0,52.51,137.0335725287785,14.155207522321952,1.0
1143.0,135.0,250.0,230.0,86.0,293.0,39.0,433.18,52.1,135.5131270394127,13.827147211192914,1.0
1143.0,135.0,250.0,230.0,86.0,293.0,39.0,432.17,51.76,135.70807308336524,13.5270987281087,1.0
1143.0,135.0,250.0,230.0,86.0,293.0,39.0,424.34,51.44,115.8330885369116,13.302871870389492,1.0
890.0,135.0,250.0,230.0,86.0,293.0,39.0,416.01,51.15,91.1807539999533,13.144865917916393,1.0
706.0,135.0,250.0,230.0,86.0,293.0,39.0,410.53,50.94,78.05132349934881,13.089553086335682,1.0
699.0,135.0,250.0,230.0,86.0,293.0,39.0,406.79,50.76,72.57179824146567,13.059954058112147,1.0
699.0,135.0,250.0,225.0,86.0,292.0,39.0,403.49,50.61,70.17399732094503,13.02758227761391,1.0
655.0,135.0,250.0,225.0,86.0,292.0,39.0,399.47,50.44,64.4078341508236,12.988702783573117,1.0
617.0,135.0,250.0,225.0,86.0,292.0,39.0,396.06,50.18,59.639218640086156,12.833845877210774,1.0
617.0,135.0,250.0,225.0,86.0,292.0,39.0,394.25,49.91,58.49485020068006,12.611974468734067,1.0
617.0,135.0,250.0,225.0,86.0,292.0,39.0,392.91,49.56,58.553923011186875,12.252607885670708,1.0
617.0,135.0,250.0,225.0,85.0,292.0,39.0,391.13,49.16,57.3567180023404,11.696768784583202,1.0
552.0,135.0,250.0,225.0,84.0,292.0,39.0,388.6,48.76,52.73120518251029,11.134738434287534,1.0
521.0,135.0,250.0,225.0,84.0,292.0,39.0,386.14,48.4,50.75194971624243,10.62449998823474,1.0
521.0,135.0,250.0,225.0,84.0,292.0,39.0,384.55,48.03,50.9035116666817,10.11479609285328,1.0
521.0,135.0,250.0,225.0,84.0,292.0,39.0,383.82,47.67,51.18503296863254,9.560392251367094,1.0
521.0,135.0,250.0,225.0,84.0,292.0,39.0,383.91,47.34,51.156249862553445,9.064458064330156,1.0
521.0,135.0,250.0,225.0,84.0,292.0,39.0,383.83,47.0,51.19512769785812,8.48999411071645,1.0
521.0,135.0,250.0,225.0,84.0,292.0,39.0,383.12,46.68,51.41619978178084,7.897949100874226,1.0
521.0,135.0,250.0,225.0,84.0,292.0,39.0,382.33,46.32,50.2698826336406,7.106166336358868,1.0
502.0,135.0,250.0,225.0,82.0,292.0,39.0,380.88,45.93,48.3018177711771,6.013742595090017,1.0
471.0,135.0,250.0,225.0,82.0,292.0,39.0,379.22,45.59,46.94413275373186,4.874617933746192,1.0
